satellite,count,mean,max,min
R01,7,19639.088050441573,35912.51648545157,2245.3725122154965
R02,8,20844.848475135983,36935.20686620503,1755.8874695881152
R03,6,17746.986970004273,36011.45717432151,2861.3445440701744
R04,5,22591.038735078862,42940.99375018993,7676.828719548503
R05,1,34221.588155498,34221.588155498,34221.588155498
R07,4,22956.375823030103,26772.62134516068,19069.192248260606
R08,5,23743.631734849823,32735.535124673454,8541.568895835091
R09,6,17849.315357279727,36151.50008114474,3815.724893543142
R12,3,21495.497027580554,25508.07694360766,18416.77573212012
R13,6,30429.41808134472,32336.068976113944,28504.220902230543
R14,8,27477.194886966587,37823.09949940199,8796.681739199816
R15,11,24891.785746063677,41299.12179629591,2105.531357280043
R17,1,42028.99879492819,42028.99879492819,42028.99879492819
R18,3,21653.920555450488,26898.551399832384,17012.246225324623
R19,4,28218.977546776652,29729.777461562466,27009.886854868633
R20,8,24107.883457848977,36907.1771207852,1365.6385696012496
R21,11,24587.25050997551,39791.87585672672,2789.143518616709
R24,3,35502.219617307455,42789.42337195594,27933.591799399943
